"tconst","parentTconst","seasonNumber","episodeNumber","averageRating","numVotes","episode_title","episode_startYear","episode_endYear","episode_runtimeMinutes","episode_genres","series_title"
"tt0729659","tt1628033",1,1,7.2,254,"The Legacy Begins","2002",NA,45,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729660","tt1628033",1,2,7.2,209,"Bus Jumps Over Motorbikes","2002",NA,45,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729661","tt1628033",1,3,7.3,190,"Grannies Doing Doughnuts","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729662","tt1628033",1,4,7.2,182,"Clarkson Drives the Aston Martin Vanquish","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729663","tt1628033",1,5,7.3,177,"Budget Bond Car","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729664","tt1628033",1,6,7.3,178,"Grannies Attempt Hand Brake Parking","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729665","tt1628033",1,7,7.3,172,"Britain's Fastest Faith Race","2002",NA,65,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729666","tt1628033",1,8,7.3,182,"Britain's Fastest White-Van Driver","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729667","tt1628033",1,9,7.4,175,"Can The Stig Be Beat?","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729668","tt1628033",1,10,7.3,178,"Britain's Fastest Faith Race 2","2002",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729669","tt1628033",2,1,7.8,216,"Nissan Sunny vs. Jet Engine","2003",NA,49,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729670","tt1628033",2,2,7.6,192,"Election Rally Car Showdown","2003",NA,54,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729671","tt1628033",2,3,7.6,187,"Which Country Has the Fastest Supercar?","2003",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729672","tt1628033",2,4,7.6,179,"Lots of Jaguars and Boris Johnson","2003",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729673","tt1628033",2,5,7.7,178,"Clarkson and the Porsche 911","2003",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729674","tt1628033",2,6,7.9,172,"Mitsubishi Evo VIII vs. Subaru Impreza STI","2003",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729675","tt1628033",2,7,8,179,"Crash Testing a Renault Megane","2003",NA,54,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729676","tt1628033",2,8,7.8,172,"Topless Showdown","2003",NA,46,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729677","tt1628033",2,9,7.9,175,"Clarkson Backseat Drives a Vauxhall","2003",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729678","tt1628033",2,10,7.9,170,"Land Rover Reliability Challenge","2003",NA,56,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729679","tt1628033",3,1,7.9,177,"Celebrating 40 Years of the Porsche 911","2003",NA,58,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729680","tt1628033",3,2,8,176,"Can a Volvo Estate Jump Four Caravans?","2003",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729681","tt1628033",3,3,7.9,173,"How to Escape a Sinking Car","2003",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729682","tt1628033",3,4,8,172,"Lamborghini 40th Anniversary Celebration","2003",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729683","tt1628033",3,5,8.1,193,"Is the Toyota Hilux Really Indestructible?","2003",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729684","tt1628033",3,6,7.9,173,"Is the Toyota Hilux Really indestructible? Part 2","2003",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729685","tt1628033",3,7,7.8,167,"The Best British Car of All Time","2003",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729686","tt1628033",3,8,7.8,162,"Generation Battle - Mercedes SL vs. Mercedes SL","2003",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729687","tt1628033",3,9,7.8,166,"Clarkson vs. the Chrysler Crossfire","2003",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729688","tt1628033",4,1,8.3,195,"Race to Monte Carlo - Aston Martin DB9 vs. Public Transport","2004",NA,54,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729689","tt1628033",4,2,7.9,167,"Hammond Tests the Cadillac Escalade and Puts a Nun in a Monster Truck","2004",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729690","tt1628033",4,3,8.2,174,"£100 Car Challenge","2004",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729691","tt1628033",4,4,8.2,168,"Bullseye! The Boys Play Car Darts","2004",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729692","tt1628033",4,5,7.9,157,"Sport Coupes Shootout - 911 vs. 6 Series vs. XKR","2004",NA,50,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729693","tt1628033",4,6,7.8,159,"Can You Run a Car on Poo?","2004",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729694","tt1628033",4,7,7.9,160,"Hammond and May Try Mini-Cabbing","2004",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729695","tt1628033",4,8,7.9,159,"Clarkson Drives His Dream Car - the Ford GT","2004",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729696","tt1628033",4,9,7.8,158,"Can You Parachute Into a Moving Car?","2004",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729697","tt1628033",4,10,7.8,154,"Clarkson Gets Wet in the X3","2004",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729698","tt1628033",5,1,7.9,158,"Beach Battle - Jaguar vs. Chrysler vs. Vauxhall","2004",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729699","tt1628033",5,2,8,168,"Mountainboarder vs. Rally Car","2004",NA,54,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729700","tt1628033",5,3,8,161,"Clarkson Climbs a Scottish Mountain","2004",NA,55,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729701","tt1628033",5,4,8,164,"24 Hours in a Smart Car","2004",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729702","tt1628033",5,5,8,158,"Hammond Invents People Carrier Racing","2004",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729703","tt1628033",5,6,8.2,165,"Can You Buy a Decent Porsche for £1,500?","2004",NA,53,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729704","tt1628033",5,7,8,164,"Evo vs. Lamborghini","2004",NA,54,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729705","tt1628033",5,8,8.4,187,"Ferrari 612 Scaglietti vs. Jet Plane","2004",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729706","tt1628033",5,9,8,159,"Clarkson Gets a Facelift in an Ariel Atom","2004",NA,42,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729707","tt1628033",6,1,8,165,"Car Soccer in Toyota Aygos","2005",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729708","tt1628033",6,2,8.1,168,"£1,500 Two-Door Coupe Challenge","2005",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729709","tt1628033",6,3,8,171,"Clarkson Opens a Public Pool With a Rolls-Royce","2005",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729710","tt1628033",6,4,8,166,"The Boys' Mother's Review Cars","2005",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729711","tt1628033",6,5,7.9,154,"Clarkson Compares the Boxster S and SLK 55 Under Sniper Fire","2005",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729712","tt1628033",6,6,8.2,179,"Mercedes McLaren SLR vs. Boat","2005",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729713","tt1628033",6,7,8.1,156,"Fiat Panda vs. Marathon Runner","2005",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729714","tt1628033",6,8,8,159,"Testing Convertibles in Iceland","2005",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729715","tt1628033",6,9,7.9,154,"Hammond and May Play Road Test Russian Roulette","2005",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729716","tt1628033",6,10,8,157,"Can a Jeep Drive Across a Lake?","2005",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729717","tt1628033",6,11,7.9,159,"Hammond Runs With the Bulls","2005",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729718","tt1628033",7,1,8,166,"Isle of Man Shootout - V8 Vantage vs. M6 vs. Carrera S","2005",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729719","tt1628033",7,2,7.9,164,"Hammond and May Race Life-Sized RC Cars","2005",NA,58,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729720","tt1628033",7,4,8.3,173,"Mid-Engine Italian Supercars for Under £10,000","2005",NA,58,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729721","tt1628033",7,5,8.3,173,"Bugatti Veyron vs. Cessna 182 Airplane","2005",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0729722","tt1628033",7,6,7.9,159,"Mazda MX-5 vs. Greyhound","2005",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0762541","tt1628033",7,3,8.3,183,"Supercar Road Trip - Ford GT vs. Ferrari F430 vs. Pagani Zonda","2005",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0762542","tt1628033",7,7,8.5,303,"Winter Olympics","2006",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0797746","tt1628033",8,1,8.2,185,"Clarkson Drives the Koenigsegg CCX","2006",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0801110","tt1628033",8,2,8,164,"Hammond Races a Jet-Powered Kayak","2006",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0802899","tt1628033",8,3,8.6,209,"Amphibious Car Challenge","2006",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0804889","tt1628033",8,4,8,176,"Porsche Cayenne Turbo S vs. Parachute Team","2006",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0809897","tt1628033",8,5,7.9,163,"Playing Car-Soccer in Toyota Aygos - Round 2","2006",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0825186","tt1628033",8,6,8.2,178,"Top Gear Sets a World Record with an F1 Car","2006",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0827975","tt1628033",8,7,7.9,158,"The Boys Build a Caterham","2006",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0829974","tt1628033",8,8,8.1,177,"Being Van Roadies for The Who","2006",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0946791","tt1628033",9,1,8.5,200,"Captain Slow Meets the Bugatti Veyron","2007",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0952430","tt1628033",9,2,7.9,171,"Reliant Robin Space Shuttle Challenge","2007",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0960668","tt1628033",9,3,8.9,362,"U. S. Special","2007",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0962493","tt1628033",9,4,8.1,185,"The Everyday Stretch Limo Challenge","2007",NA,58,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0966524","tt1628033",9,5,8.2,183,"Episode #9.5","2007",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0973671","tt1628033",9,6,8.4,225,"Stretch Limos from ordinary cars.","2007",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt0996660","tt1628033",9,7,7.8,203,"Top Gear of the Pops","2007",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt10008916","tt5712554",3,13,9.7,2577,"The Mongolia Special-Survival of the Fattest","2019",NA,92,"Comedy,Talk-Show","The Grand Tour"
"tt10008922","tt5712554",3,14,9.4,1320,"Funeral for a Ford","2019",NA,55,"Comedy,Talk-Show","The Grand Tour"
"tt10503840","tt1628033",27,2,5.4,317,"Episode #27.2","2019",NA,62,"Adventure,Comedy,Reality-TV","Top Gear"
"tt10503846","tt1628033",27,3,4.5,281,"Episode #27.3","2019",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt10503856","tt1628033",27,4,4.8,205,"Episode #27.4","2019",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt10503860","tt1628033",27,5,6,174,"Episode #27.5","2019",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1070690","tt1628033",9,8,9,684,"Polar Special","2007",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1114654","tt1628033",10,1,8.3,191,"The Search for the Greatest Driving Road in the World","2007",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1122514","tt1628033",10,2,8.7,240,"Amphibious Car Challenge II","2007",NA,50,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1133267","tt1628033",10,3,8.5,192,"Bugatti Veyron vs. Typhoon Jet Fighter","2007",NA,50,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1136573","tt1628033",10,4,9.1,476,"Botswana Special","2007",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1140803","tt1628033",10,5,8.4,192,"London Race","2007",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1143771","tt1628033",10,6,7.9,167,"MotorHome Racing - Alfa Romeo 159 vs Tall Man Across The Humber Estuary","2007",NA,50,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1147384","tt1628033",10,7,8.5,195,"£1,200 British Leyland Cheap-Car Challenge","2007",NA,50,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1150889","tt1628033",10,8,8.1,172,"Renault R25 Formula One Car - Automobile History Investigation - GPS Satellite Self-Controlled BMW 330i","2007",NA,50,"Adventure,Comedy,Reality-TV","Top Gear"
"tt11517882","tt1628033",28,0,6.7,175,"Nepal Special","2019",NA,72,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1153481","tt1628033",10,9,8.8,203,"Britcar 24 Hour Endurance Race - Fiat 500 vs. BMX Riders Through Budapest Race","2007",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1160283","tt1628033",10,10,8.4,206,"German Performance Saloon Cars - Top Gear Awards 2007","2007",NA,50,"Adventure,Comedy,Reality-TV","Top Gear"
"tt11679296","tt1628033",28,1,6.3,129,"Episode #28.1","2020",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt11702224","tt1628033",28,2,6.5,109,"Episode #28.2","2020",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt11702232","tt1628033",28,3,6.9,112,"Episode #28.3","2020",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt11711756","tt1628033",28,6,6.3,78,"Episode #28.6","2020",NA,62,"Adventure,Comedy,Reality-TV","Top Gear"
"tt11711764","tt1628033",28,5,6.4,75,"Episode #28.5","2020",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt11711778","tt1628033",28,4,6,87,"Episode #28.4","2020",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt11780790","tt1628033",29,1,NA,NA,"Episode #29.1","2020",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1221329","tt1628033",10,11,8.4,217,"Top Ground Gear Force","2008",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1248080","tt1628033",11,1,8.4,201,"Police Car Challenge","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1253297","tt1628033",11,2,7.9,173,"Audi RS6 vs French Skiers Race - TG Stuntman: MG Maestro Cork-Screw Jump","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1258608","tt1628033",11,3,8.3,181,"Cheap Car Challenge: Alfa Romeos for £1,000","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1261728","tt1628033",11,4,8.5,214,"Nissan GT-R vs Japanese Bullet Train Epic Race","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1264801","tt1628033",11,5,8.1,177,"Classic Luxury Limousines - Daihatsu Terios Fox Hunting Challenge","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1267804","tt1628033",11,6,8.5,197,"The British (Top Gear) vs. The Germans (D Motor) Showdown","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt12769332","tt5712554",5,1,NA,NA,"The Grand Tour Presents: La Réunion",NA,NA,90,"Comedy,Talk-Show","The Grand Tour"
"tt1317981","tt1628033",12,1,8.5,202,"£5,000 Lorry Challenge","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1321094","tt1628033",12,2,8.4,205,"Muscle Car Challenge","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1326690","tt1628033",12,3,8.2,179,"Tuning Challenge - Finnish Folk Racing - Corvette V-8 Engine Blender-Made Smoothie","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1331963","tt1628033",12,4,8.6,203,"Economy Race From Basel To Blackpool Illuminations","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1331964","tt1628033",12,5,8,175,"Portofino To Saint-Tropez Race - Powerboat Vs. Ferrari Daytona - Best Bus For British City Streets","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1341101","tt1628033",12,6,8.5,184,"Did The Communists Make A Good Car? - Ford Fiesta With The Royal Marines","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1341102","tt1628033",12,7,8.1,172,"50 Years Of British Touring Car Racing - TG Stuntman Takes On Fifth Gear's Caravan Jump Record - Top Gear Awards 2008","2008",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1345357","tt1628033",12,8,9.5,706,"Vietnam Special","2008",NA,74,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1461645","tt1628033",13,1,9,263,"Race To The North - Ferrari FXX Lap Time - The Stig Revealed","2009",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1463758","tt1628033",13,2,8.7,224,"Perfect £2,500 Car For 17 Year Olds","2009",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1467872","tt1628033",13,3,8.4,199,"Cheap And Cheerful Car I - Cheap And Cheerful Car II - Gymkhana Rallying On The Airfield","2009",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1476227","tt1628033",13,4,8.1,185,"Porsche Panamera Vs. The Royal Mail Service Race - Playing British Bulldogs With Live Fire Against The British Army In A Mitsubishi Lancer Evolution VII","2009",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1476228","tt1628033",13,5,8.6,197,"Proof Of Three £1,500 Rear Wheel Drive Coupés Better Than Front Wheel Drive - Clarkson's Inspired Greenhouse Trailer Design To Save The World","2009",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1481297","tt1628033",13,6,8.5,201,"Pre-1982 £3,000 Classic Cars For A TSD Rally In Mallorca","2009",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1484866","tt1628033",13,7,8.6,198,"Producing Volkswagen Scirocco Adverts","2009",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1547870","tt1628033",14,1,8.5,262,"Romanian GT Road Trip To Find The Transfagarasan Highway","2009",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1548221","tt1628033",14,2,8.4,220,"Build An Electric Car Better Than A G-Wiz","2009",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1558724","tt1628033",14,3,8.2,203,"Fly An Airship Caravan With A Lamborghini Gallardo LP550-2 Valentino Balboni - Why Lancia Has Made The Greatest Number Of Great Cars","2009",NA,62,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1562208","tt1628033",14,4,8.2,201,"Airport Vehicle Motorsport","2009",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1570072","tt1628033",14,5,8,196,"Make An Automotive Art Gallery To Prove Cars Are More Popular Than Traditional Art","2009",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1571929","tt1628033",14,6,9.4,611,"Bolivia Special","2009",NA,76,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1578230","tt1628033",14,7,8.3,191,"Low-Budget Worldwide Review Of The BMW X6 - James May And Margaret Calvert Reflect On The Evolution Of UK Road Signs - Top Gear Awards 2009","2010",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1671396","tt1628033",15,1,8.6,255,"Toyota Hilux Invincible Up An Icelandic Volcano - Farewell To The Former Reasonably Priced Car, The Chevrolet Lacetti - Why Reliant Went Out Of Business - 1994 Reliant Robin","2010",NA,62,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1683838","tt1628033",15,2,8.2,216,"Find A £5,000 Everyday Second-Hand Sports Saloon For Track Days","2010",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1687193","tt1628033",15,3,8.2,211,"Find The Greatest Four-Door Supercar By Driving Wedding Guests","2010",NA,62,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1691304","tt1628033",15,4,9.1,310,"Building Motor Homes","2010",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1695114","tt1628033",15,5,9,296,"Volkswagen Touareg Vs Swedish Snowmobilers - Reach 258mph (415 km/h) In The Bugatti Veyron Super Sport - Commemorating Racing Driver Ayrton Senna, Lewis Hamilton Drives Senna's 1988 F1 Racing Car","2010",NA,45,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1695115","tt1628033",15,6,8.5,230,"Old British Roadsters For £5,000","2010",NA,59,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1719458","tt1628033",15,7,8.4,140,"The Best Of Top Gear: 2010 No.1","2010",NA,60,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1719459","tt1628033",15,8,8.3,132,"The Best Of Top Gear: 2010 No.2","2010",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1802726","tt1628033",15,9,8.5,213,"East Coast Road Trip","2010",NA,66,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1802727","tt1628033",16,0,9,576,"Middle East Special","2010",NA,76,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1822119","tt1628033",16,1,8.4,214,"Yeti Road Test","2011",NA,52,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1830380","tt1628033",16,2,8.2,216,"Top Gear Ashes - British Hosts Vs Top Gear Australia Hosts","2011",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1835806","tt1628033",16,3,8.6,235,"Albania Road Trip","2011",NA,62,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1843033","tt1628033",16,4,8.1,194,"Second-Hand Four Seater Convertibles For £2,000","2011",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1844599","tt1628033",16,5,8.4,225,"Convert A Combine Harvester Into A Snow Plough","2011",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1851760","tt1628033",16,6,8.2,206,"Episode #16.6","2011",NA,63,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1925377","tt1628033",16,7,8.1,125,"Episode #16.7","2011",NA,51,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1925378","tt1628033",16,8,8.1,129,"Episode #16.8","2011",NA,NA,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1978318","tt1628033",17,1,8.3,247,"Jaguar E-Type 50th Birthday - Mini John Cooper Works WRC And Amy Williams Race","2011",NA,61,"Adventure,Comedy,Reality-TV","Top Gear"
"tt1982564","tt1628033",17,2,8.4,244,"High Performance Hatchbacks In Lucca And Around The Monaco Grand Prix Track","2011",NA,63,"Adventure,Comedy,Reality-TV","Top Gear"
